medicine_id,medicine_code,medicine_name,medicine_category,manufacturer,unit_price,stock_quantity,reorder_level,medicine_status
25,MED0025,Medicine 25,Cardiac,Manufacturer 1,124.0,499,45,Active
26,MED0026,Medicine 26,Cardiac,Manufacturer 2,383.0,228,15,Active
27,MED0027,Medicine 27,Antibiotic,Manufacturer 3,607.0,90,9,Active
28,MED0028,Medicine 28,Vitamin,Manufacturer 4,54.0,416,46,Active
29,MED0029,Medicine 29,Cardiac,Manufacturer 5,1298.0,258,46,Active
30,MED0030,Medicine 30,Gastro,Manufacturer 6,1021.0,291,5,Active
31,MED0031,Medicine 31,Analgesic,Manufacturer 7,1460.0,461,36,Active
32,MED0032,Medicine 32,Cardiac,Manufacturer 8,634.0,215,37,Active
33,MED0033,Medicine 33,Analgesic,Manufacturer 9,859.0,317,35,Active
34,MED0034,Medicine 34,Antibiotic,Manufacturer 10,1239.0,222,47,Active
35,MED0035,Medicine 35,Cardiac,Manufacturer 11,1199.0,64,45,Active
36,MED0036,Medicine 36,Antibiotic,Manufacturer 12,859.0,376,20,Active
37,MED0037,Medicine 37,Vitamin,Manufacturer 13,1011.0,452,30,Active
38,MED0038,Medicine 38,Gastro,Manufacturer 14,103.0,42,30,Active
39,MED0039,Medicine 39,Cardiac,Manufacturer 15,637.0,311,21,Active
40,MED0040,Medicine 40,Vitamin,Manufacturer 16,1092.0,305,44,Active
41,MED0041,Medicine 41,Antibiotic,Manufacturer 17,311.0,416,40,Active
42,MED0042,Medicine 42,Diabetes,Manufacturer 18,271.0,155,30,Active
43,MED0043,Medicine 43,Antibiotic,Manufacturer 19,1275.0,171,45,Active
44,MED0044,Medicine 44,Diabetes,Manufacturer 20,476.0,30,41,Active
45,MED0045,Medicine 45,Diabetes,Manufacturer 21,1320.0,116,12,Active
46,MED0046,Medicine 46,Analgesic,Manufacturer 22,589.0,194,39,Active
47,MED0047,Medicine 47,Vitamin,Manufacturer 23,41.0,271,33,Active
48,MED0048,Medicine 48,Analgesic,Manufacturer 24,633.0,368,28,Active
49,MED0049,Medicine 49,Antibiotic,Manufacturer 25,639.0,169,13,Active
50,MED0050,Medicine 50,Antibiotic,Manufacturer 1,535.0,431,43,Active
51,MED0051,Medicine 51,Antibiotic,Manufacturer 2,924.0,371,26,Active
52,MED0052,Medicine 52,Antibiotic,Manufacturer 3,1064.0,91,13,Active
53,MED0053,Medicine 53,Analgesic,Manufacturer 4,143.0,468,29,Active
54,MED0054,Medicine 54,Gastro,Manufacturer 5,37.0,102,11,Active
55,MED0055,Medicine 55,Antibiotic,Manufacturer 6,1081.0,91,45,Active
56,MED0056,Medicine 56,Gastro,Manufacturer 7,442.0,142,22,Active
57,MED0057,Medicine 57,Diabetes,Manufacturer 8,1027.0,229,41,Active
58,MED0058,Medicine 58,Gastro,Manufacturer 9,405.0,204,42,Active
59,MED0059,Medicine 59,Gastro,Manufacturer 10,1459.0,57,8,Active
60,MED0060,Medicine 60,Diabetes,Manufacturer 11,351.0,372,37,Active
61,MED0061,Medicine 61,Cardiac,Manufacturer 12,74.0,182,17,Active
62,MED0062,Medicine 62,Cardiac,Manufacturer 13,1269.0,372,35,Active
63,MED0063,Medicine 63,Antibiotic,Manufacturer 14,968.0,264,32,Active
64,MED0064,Medicine 64,Cardiac,Manufacturer 15,762.0,174,39,Active
65,MED0065,Medicine 65,Cardiac,Manufacturer 16,1300.0,463,40,Active
66,MED0066,Medicine 66,Diabetes,Manufacturer 17,734.0,265,40,Active
67,MED0067,Medicine 67,Vitamin,Manufacturer 18,1137.0,360,25,Active
68,MED0068,Medicine 68,Analgesic,Manufacturer 19,514.0,498,23,Active
69,MED0069,Medicine 69,Cardiac,Manufacturer 20,749.0,182,11,Active
70,MED0070,Medicine 70,Analgesic,Manufacturer 21,343.0,107,9,Active
71,MED0071,Medicine 71,Vitamin,Manufacturer 22,126.0,67,30,Active
72,MED0072,Medicine 72,Vitamin,Manufacturer 23,1053.0,74,32,Active
73,MED0073,Medicine 73,Diabetes,Manufacturer 24,1095.0,152,23,Active
74,MED0074,Medicine 74,Vitamin,Manufacturer 25,1202.0,136,38,Active
75,MED0075,Medicine 75,Vitamin,Manufacturer 1,1072.0,317,39,Active
76,MED0076,Medicine 76,Diabetes,Manufacturer 2,362.0,248,30,Active
77,MED0077,Medicine 77,Gastro,Manufacturer 3,1166.0,74,9,Active
78,MED0078,Medicine 78,Antibiotic,Manufacturer 4,385.0,145,27,Active
79,MED0079,Medicine 79,Gastro,Manufacturer 5,632.0,230,46,Active
80,MED0080,Medicine 80,Gastro,Manufacturer 6,1130.0,377,6,Active
81,MED0081,Medicine 81,Gastro,Manufacturer 7,708.0,318,39,Active
82,MED0082,Medicine 82,Antibiotic,Manufacturer 8,1010.0,442,29,Active
83,MED0083,Medicine 83,Diabetes,Manufacturer 9,146.0,379,46,Active
84,MED0084,Medicine 84,Cardiac,Manufacturer 10,634.0,263,11,Active
85,MED0085,Medicine 85,Antibiotic,Manufacturer 11,144.0,87,40,Active
86,MED0086,Medicine 86,Diabetes,Manufacturer 12,926.0,46,16,Active
87,MED0087,Medicine 87,Vitamin,Manufacturer 13,808.0,49,47,Active
88,MED0088,Medicine 88,Diabetes,Manufacturer 14,749.0,302,22,Active
89,MED0089,Medicine 89,Gastro,Manufacturer 15,475.0,183,13,Active
90,MED0090,Medicine 90,Analgesic,Manufacturer 16,1367.0,108,12,Active
91,MED0091,Medicine 91,Cardiac,Manufacturer 17,100.0,211,11,Active
92,MED0092,Medicine 92,Analgesic,Manufacturer 18,290.0,434,24,Active
93,MED0093,Medicine 93,Antibiotic,Manufacturer 19,1366.0,499,11,Active
94,MED0094,Medicine 94,Antibiotic,Manufacturer 20,236.0,142,24,Active
95,MED0095,Medicine 95,Gastro,Manufacturer 21,1357.0,430,46,Active
96,MED0096,Medicine 96,Antibiotic,Manufacturer 22,1427.0,330,10,Active
97,MED0097,Medicine 97,Vitamin,Manufacturer 23,1064.0,378,34,Active
98,MED0098,Medicine 98,Gastro,Manufacturer 24,65.0,282,35,Active
99,MED0099,Medicine 99,Vitamin,Manufacturer 25,1051.0,131,34,Active
100,MED0100,Medicine 100,Analgesic,Manufacturer 1,339.0,312,19,Active
101,MED0101,Medicine 101,Analgesic,Manufacturer 2,839.0,105,11,Active
102,MED0102,Medicine 102,Cardiac,Manufacturer 3,254.0,370,36,Active
103,MED0103,Medicine 103,Vitamin,Manufacturer 4,265.0,376,5,Active
104,MED0104,Medicine 104,Diabetes,Manufacturer 5,293.0,363,8,Active
105,MED0105,Medicine 105,Antibiotic,Manufacturer 6,437.0,181,39,Active
106,MED0106,Medicine 106,Analgesic,Manufacturer 7,1183.0,252,8,Active
107,MED0107,Medicine 107,Vitamin,Manufacturer 8,864.0,426,8,Active
108,MED0108,Medicine 108,Cardiac,Manufacturer 9,296.0,262,40,Active
109,MED0109,Medicine 109,Vitamin,Manufacturer 10,1458.0,138,17,Active
110,MED0110,Medicine 110,Gastro,Manufacturer 11,1169.0,171,20,Active
111,MED0111,Medicine 111,Analgesic,Manufacturer 12,1181.0,64,30,Active
112,MED0112,Medicine 112,Cardiac,Manufacturer 13,828.0,462,41,Active
113,MED0113,Medicine 113,Vitamin,Manufacturer 14,1050.0,219,48,Active
114,MED0114,Medicine 114,Diabetes,Manufacturer 15,556.0,429,47,Active
115,MED0115,Medicine 115,Cardiac,Manufacturer 16,1244.0,251,27,Active
116,MED0116,Medicine 116,Diabetes,Manufacturer 17,761.0,447,45,Active
117,MED0117,Medicine 117,Gastro,Manufacturer 18,889.0,65,20,Active
118,MED0118,Medicine 118,Antibiotic,Manufacturer 19,81.0,319,18,Active
119,MED0119,Medicine 119,Antibiotic,Manufacturer 20,341.0,42,10,Active
120,MED0120,Medicine 120,Cardiac,Manufacturer 21,1015.0,396,22,Active
121,MED0121,Medicine 121,Gastro,Manufacturer 22,159.0,72,19,Active
122,MED0122,Medicine 122,Diabetes,Manufacturer 23,227.0,10,31,Active
123,MED0123,Medicine 123,Cardiac,Manufacturer 24,651.0,216,47,Active
124,MED0124,Medicine 124,Antibiotic,Manufacturer 25,920.0,385,39,Active
125,MED0125,Medicine 125,Antibiotic,Manufacturer 1,515.0,480,38,Active
126,MED0126,Medicine 126,Vitamin,Manufacturer 2,1107.0,43,49,Active
127,MED0127,Medicine 127,Vitamin,Manufacturer 3,998.0,10,46,Active
128,MED0128,Medicine 128,Vitamin,Manufacturer 4,1303.0,156,46,Active
129,MED0129,Medicine 129,Antibiotic,Manufacturer 5,868.0,386,15,Active
130,MED0130,Medicine 130,Vitamin,Manufacturer 6,885.0,89,46,Active
131,MED0131,Medicine 131,Antibiotic,Manufacturer 7,1460.0,489,47,Active
132,MED0132,Medicine 132,Analgesic,Manufacturer 8,672.0,381,41,Active
133,MED0133,Medicine 133,Analgesic,Manufacturer 9,743.0,198,36,Active
134,MED0134,Medicine 134,Gastro,Manufacturer 10,658.0,446,18,Active
135,MED0135,Medicine 135,Gastro,Manufacturer 11,674.0,61,18,Active
136,MED0136,Medicine 136,Vitamin,Manufacturer 12,646.0,396,35,Active
137,MED0137,Medicine 137,Cardiac,Manufacturer 13,317.0,364,35,Active
138,MED0138,Medicine 138,Analgesic,Manufacturer 14,128.0,200,5,Active
139,MED0139,Medicine 139,Gastro,Manufacturer 15,364.0,202,14,Active
140,MED0140,Medicine 140,Vitamin,Manufacturer 16,1253.0,468,39,Active
141,MED0141,Medicine 141,Antibiotic,Manufacturer 17,1006.0,233,36,Active
142,MED0142,Medicine 142,Gastro,Manufacturer 18,1001.0,317,42,Active
143,MED0143,Medicine 143,Vitamin,Manufacturer 19,810.0,10,5,Active
144,MED0144,Medicine 144,Antibiotic,Manufacturer 20,1297.0,233,26,Active
145,MED0145,Medicine 145,Analgesic,Manufacturer 21,1394.0,127,45,Active
146,MED0146,Medicine 146,Gastro,Manufacturer 22,611.0,334,46,Active
147,MED0147,Medicine 147,Antibiotic,Manufacturer 23,106.0,94,34,Active
148,MED0148,Medicine 148,Diabetes,Manufacturer 24,1028.0,208,42,Active
149,MED0149,Medicine 149,Cardiac,Manufacturer 25,717.0,245,15,Active
150,MED0150,Medicine 150,Vitamin,Manufacturer 1,85.0,22,26,Active
151,MED0151,Medicine 151,Gastro,Manufacturer 2,690.0,397,21,Active
152,MED0152,Medicine 152,Analgesic,Manufacturer 3,961.0,129,28,Active
153,MED0153,Medicine 153,Diabetes,Manufacturer 4,191.0,121,7,Active
154,MED0154,Medicine 154,Analgesic,Manufacturer 5,1338.0,16,38,Active
155,MED0155,Medicine 155,Analgesic,Manufacturer 6,705.0,13,27,Active
156,MED0156,Medicine 156,Vitamin,Manufacturer 7,189.0,162,16,Active
157,MED0157,Medicine 157,Gastro,Manufacturer 8,1240.0,142,10,Active
158,MED0158,Medicine 158,Vitamin,Manufacturer 9,174.0,430,30,Active
159,MED0159,Medicine 159,Gastro,Manufacturer 10,1263.0,348,22,Active
160,MED0160,Medicine 160,Analgesic,Manufacturer 11,975.0,262,45,Active
161,MED0161,Medicine 161,Gastro,Manufacturer 12,1339.0,204,26,Active
162,MED0162,Medicine 162,Vitamin,Manufacturer 13,457.0,414,30,Active
163,MED0163,Medicine 163,Cardiac,Manufacturer 14,1387.0,140,35,Active
164,MED0164,Medicine 164,Cardiac,Manufacturer 15,1433.0,277,31,Active
165,MED0165,Medicine 165,Analgesic,Manufacturer 16,51.0,495,25,Active
166,MED0166,Medicine 166,Diabetes,Manufacturer 17,1356.0,183,6,Active
167,MED0167,Medicine 167,Gastro,Manufacturer 18,934.0,325,22,Active
168,MED0168,Medicine 168,Vitamin,Manufacturer 19,617.0,27,30,Active
169,MED0169,Medicine 169,Gastro,Manufacturer 20,629.0,233,46,Active
170,MED0170,Medicine 170,Diabetes,Manufacturer 21,469.0,186,39,Active
171,MED0171,Medicine 171,Gastro,Manufacturer 22,156.0,389,19,Active
172,MED0172,Medicine 172,Antibiotic,Manufacturer 23,253.0,442,14,Active
173,MED0173,Medicine 173,Diabetes,Manufacturer 24,855.0,254,20,Active
174,MED0174,Medicine 174,Antibiotic,Manufacturer 25,92.0,245,43,Active
175,MED0175,Medicine 175,Vitamin,Manufacturer 1,1019.0,148,47,Active
176,MED0176,Medicine 176,Cardiac,Manufacturer 2,1204.0,76,30,Active
177,MED0177,Medicine 177,Analgesic,Manufacturer 3,701.0,392,47,Active
178,MED0178,Medicine 178,Antibiotic,Manufacturer 4,647.0,45,29,Active
179,MED0179,Medicine 179,Vitamin,Manufacturer 5,513.0,196,17,Active
180,MED0180,Medicine 180,Vitamin,Manufacturer 6,1271.0,406,16,Active
181,MED0181,Medicine 181,Analgesic,Manufacturer 7,233.0,102,37,Active
182,MED0182,Medicine 182,Diabetes,Manufacturer 8,1264.0,332,46,Active
183,MED0183,Medicine 183,Antibiotic,Manufacturer 9,1007.0,67,20,Active
184,MED0184,Medicine 184,Cardiac,Manufacturer 10,775.0,113,13,Active
185,MED0185,Medicine 185,Antibiotic,Manufacturer 11,333.0,348,45,Active
186,MED0186,Medicine 186,Cardiac,Manufacturer 12,1276.0,409,17,Active
187,MED0187,Medicine 187,Analgesic,Manufacturer 13,583.0,67,48,Active
188,MED0188,Medicine 188,Gastro,Manufacturer 14,600.0,259,19,Active
189,MED0189,Medicine 189,Antibiotic,Manufacturer 15,316.0,33,23,Active
190,MED0190,Medicine 190,Cardiac,Manufacturer 16,558.0,346,38,Active
191,MED0191,Medicine 191,Diabetes,Manufacturer 17,533.0,180,25,Active
192,MED0192,Medicine 192,Gastro,Manufacturer 18,495.0,359,19,Active
193,MED0193,Medicine 193,Diabetes,Manufacturer 19,391.0,54,27,Active
194,MED0194,Medicine 194,Gastro,Manufacturer 20,654.0,391,7,Active
195,MED0195,Medicine 195,Antibiotic,Manufacturer 21,1397.0,287,20,Active
196,MED0196,Medicine 196,Diabetes,Manufacturer 22,1141.0,442,45,Active
197,MED0197,Medicine 197,Cardiac,Manufacturer 23,36.0,209,10,Active
198,MED0198,Medicine 198,Diabetes,Manufacturer 24,302.0,338,44,Active
199,MED0199,Medicine 199,Analgesic,Manufacturer 25,827.0,479,18,Active
200,MED0200,Medicine 200,Gastro,Manufacturer 1,85.0,321,6,Active
201,MED0201,Medicine 201,Antibiotic,Manufacturer 2,874.0,437,36,Active
202,MED0202,Medicine 202,Cardiac,Manufacturer 3,590.0,240,17,Active
203,MED0203,Medicine 203,Antibiotic,Manufacturer 4,1213.0,269,43,Active
204,MED0204,Medicine 204,Diabetes,Manufacturer 5,587.0,40,38,Active
205,MED0205,Medicine 205,Diabetes,Manufacturer 6,1306.0,129,22,Active
206,MED0206,Medicine 206,Analgesic,Manufacturer 7,257.0,446,21,Active
207,MED0207,Medicine 207,Antibiotic,Manufacturer 8,112.0,176,6,Active
208,MED0208,Medicine 208,Vitamin,Manufacturer 9,1240.0,454,43,Active
209,MED0209,Medicine 209,Antibiotic,Manufacturer 10,978.0,428,43,Active
210,MED0210,Medicine 210,Cardiac,Manufacturer 11,1404.0,92,35,Active
211,MED0211,Medicine 211,Analgesic,Manufacturer 12,1369.0,449,46,Active
212,MED0212,Medicine 212,Antibiotic,Manufacturer 13,426.0,201,47,Active
213,MED0213,Medicine 213,Diabetes,Manufacturer 14,1476.0,434,17,Active
214,MED0214,Medicine 214,Analgesic,Manufacturer 15,948.0,393,14,Active
215,MED0215,Medicine 215,Gastro,Manufacturer 16,602.0,392,33,Active
216,MED0216,Medicine 216,Gastro,Manufacturer 17,75.0,423,34,Active
217,MED0217,Medicine 217,Analgesic,Manufacturer 18,739.0,146,10,Active
218,MED0218,Medicine 218,Cardiac,Manufacturer 19,1033.0,394,47,Active
219,MED0219,Medicine 219,Diabetes,Manufacturer 20,23.0,205,24,Active
220,MED0220,Medicine 220,Vitamin,Manufacturer 21,206.0,443,14,Active
221,MED0221,Medicine 221,Gastro,Manufacturer 22,747.0,486,18,Active
222,MED0222,Medicine 222,Cardiac,Manufacturer 23,980.0,101,16,Active
223,MED0223,Medicine 223,Gastro,Manufacturer 24,1168.0,340,13,Active
224,MED0224,Medicine 224,Analgesic,Manufacturer 25,1362.0,451,23,Active
225,MED0225,Medicine 225,Diabetes,Manufacturer 1,102.0,331,9,Active
226,MED0226,Medicine 226,Antibiotic,Manufacturer 2,808.0,426,45,Active
227,MED0227,Medicine 227,Cardiac,Manufacturer 3,782.0,276,25,Active
228,MED0228,Medicine 228,Gastro,Manufacturer 4,1163.0,237,15,Active
229,MED0229,Medicine 229,Vitamin,Manufacturer 5,1021.0,209,14,Active
230,MED0230,Medicine 230,Cardiac,Manufacturer 6,1271.0,172,44,Active
231,MED0231,Medicine 231,Analgesic,Manufacturer 7,307.0,41,11,Active
232,MED0232,Medicine 232,Analgesic,Manufacturer 8,1090.0,269,34,Active
233,MED0233,Medicine 233,Antibiotic,Manufacturer 9,940.0,328,27,Active
234,MED0234,Medicine 234,Diabetes,Manufacturer 10,211.0,252,37,Active
235,MED0235,Medicine 235,Antibiotic,Manufacturer 11,260.0,376,29,Active
236,MED0236,Medicine 236,Analgesic,Manufacturer 12,532.0,441,19,Active
237,MED0237,Medicine 237,Cardiac,Manufacturer 13,1251.0,109,25,Active
238,MED0238,Medicine 238,Analgesic,Manufacturer 14,750.0,139,45,Active
239,MED0239,Medicine 239,Antibiotic,Manufacturer 15,846.0,320,41,Active
240,MED0240,Medicine 240,Antibiotic,Manufacturer 16,1297.0,132,36,Active
241,MED0241,Medicine 241,Antibiotic,Manufacturer 17,233.0,270,10,Active
242,MED0242,Medicine 242,Cardiac,Manufacturer 18,662.0,242,7,Active
243,MED0243,Medicine 243,Gastro,Manufacturer 19,465.0,360,14,Active
244,MED0244,Medicine 244,Analgesic,Manufacturer 20,77.0,428,22,Active
245,MED0245,Medicine 245,Antibiotic,Manufacturer 21,388.0,77,9,Active
246,MED0246,Medicine 246,Antibiotic,Manufacturer 22,1100.0,295,46,Active
247,MED0247,Medicine 247,Vitamin,Manufacturer 23,938.0,273,46,Active
248,MED0248,Medicine 248,Vitamin,Manufacturer 24,266.0,303,39,Active
249,MED0249,Medicine 249,Vitamin,Manufacturer 25,624.0,322,27,Active
250,MED0250,Medicine 250,Diabetes,Manufacturer 1,1003.0,295,40,Active
251,MED0251,Medicine 251,Antibiotic,Manufacturer 2,108.0,418,22,Active
252,MED0252,Medicine 252,Cardiac,Manufacturer 3,1152.0,278,29,Active
253,MED0253,Medicine 253,Vitamin,Manufacturer 4,525.0,139,6,Active
254,MED0254,Medicine 254,Vitamin,Manufacturer 5,30.0,214,24,Active
255,MED0255,Medicine 255,Vitamin,Manufacturer 6,735.0,13,15,Active
256,MED0256,Medicine 256,Diabetes,Manufacturer 7,1203.0,37,37,Active
257,MED0257,Medicine 257,Analgesic,Manufacturer 8,298.0,79,13,Active
258,MED0258,Medicine 258,Diabetes,Manufacturer 9,1299.0,43,46,Active
259,MED0259,Medicine 259,Analgesic,Manufacturer 10,1477.0,406,35,Active
260,MED0260,Medicine 260,Cardiac,Manufacturer 11,1394.0,242,11,Active
261,MED0261,Medicine 261,Analgesic,Manufacturer 12,250.0,138,6,Active
262,MED0262,Medicine 262,Cardiac,Manufacturer 13,817.0,259,14,Active
263,MED0263,Medicine 263,Analgesic,Manufacturer 14,861.0,169,5,Active
264,MED0264,Medicine 264,Gastro,Manufacturer 15,802.0,103,45,Active
265,MED0265,Medicine 265,Analgesic,Manufacturer 16,1094.0,32,21,Active
266,MED0266,Medicine 266,Analgesic,Manufacturer 17,121.0,221,16,Active
267,MED0267,Medicine 267,Analgesic,Manufacturer 18,764.0,438,16,Active
268,MED0268,Medicine 268,Antibiotic,Manufacturer 19,1169.0,213,47,Active
269,MED0269,Medicine 269,Gastro,Manufacturer 20,280.0,385,5,Active
270,MED0270,Medicine 270,Cardiac,Manufacturer 21,144.0,388,41,Active
271,MED0271,Medicine 271,Vitamin,Manufacturer 22,99.0,425,38,Active
272,MED0272,Medicine 272,Vitamin,Manufacturer 23,619.0,329,24,Active
273,MED0273,Medicine 273,Gastro,Manufacturer 24,1101.0,153,19,Active
274,MED0274,Medicine 274,Vitamin,Manufacturer 25,1219.0,36,9,Active
275,MED0275,Medicine 275,Gastro,Manufacturer 1,1083.0,114,45,Active
276,MED0276,Medicine 276,Antibiotic,Manufacturer 2,263.0,280,29,Active
277,MED0277,Medicine 277,Analgesic,Manufacturer 3,968.0,421,10,Active
278,MED0278,Medicine 278,Gastro,Manufacturer 4,824.0,451,16,Active
279,MED0279,Medicine 279,Gastro,Manufacturer 5,1135.0,186,30,Active
280,MED0280,Medicine 280,Gastro,Manufacturer 6,627.0,333,38,Active
281,MED0281,Medicine 281,Analgesic,Manufacturer 7,1103.0,300,14,Active
282,MED0282,Medicine 282,Vitamin,Manufacturer 8,57.0,307,16,Active
283,MED0283,Medicine 283,Gastro,Manufacturer 9,1326.0,336,22,Active
284,MED0284,Medicine 284,Diabetes,Manufacturer 10,318.0,51,21,Active
285,MED0285,Medicine 285,Diabetes,Manufacturer 11,587.0,64,25,Active
286,MED0286,Medicine 286,Vitamin,Manufacturer 12,686.0,235,18,Active
287,MED0287,Medicine 287,Cardiac,Manufacturer 13,463.0,479,40,Active
288,MED0288,Medicine 288,Gastro,Manufacturer 14,1001.0,169,35,Active
289,MED0289,Medicine 289,Vitamin,Manufacturer 15,301.0,431,49,Active
290,MED0290,Medicine 290,Antibiotic,Manufacturer 16,148.0,248,35,Active
291,MED0291,Medicine 291,Diabetes,Manufacturer 17,1120.0,413,17,Active
292,MED0292,Medicine 292,Diabetes,Manufacturer 18,134.0,67,38,Active
293,MED0293,Medicine 293,Vitamin,Manufacturer 19,857.0,367,48,Active
294,MED0294,Medicine 294,Antibiotic,Manufacturer 20,1096.0,315,46,Active
295,MED0295,Medicine 295,Analgesic,Manufacturer 21,958.0,422,27,Active
296,MED0296,Medicine 296,Analgesic,Manufacturer 22,1418.0,86,41,Active
297,MED0297,Medicine 297,Vitamin,Manufacturer 23,71.0,182,31,Active
298,MED0298,Medicine 298,Antibiotic,Manufacturer 24,241.0,172,47,Active
299,MED0299,Medicine 299,Cardiac,Manufacturer 25,1020.0,306,25,Active
300,MED0300,Medicine 300,Antibiotic,Manufacturer 1,1440.0,273,20,Active
