diagnosis_id,diagnosis_code,diagnosis_name,diagnosis_category,description,severity,active_flag
91,DIA0091,Diagnosis 91,Digestive,Clinical diagnosis 91,Low,True
92,DIA0092,Diagnosis 92,Orthopedic,Clinical diagnosis 92,Medium,True
93,DIA0093,Diagnosis 93,Infectious,Clinical diagnosis 93,Medium,True
94,DIA0094,Diagnosis 94,Digestive,Clinical diagnosis 94,Medium,True
95,DIA0095,Diagnosis 95,Orthopedic,Clinical diagnosis 95,High,True
96,DIA0096,Diagnosis 96,Respiratory,Clinical diagnosis 96,Critical,True
97,DIA0097,Diagnosis 97,Digestive,Clinical diagnosis 97,Low,True
98,DIA0098,Diagnosis 98,Infectious,Clinical diagnosis 98,Low,True
99,DIA0099,Diagnosis 99,Orthopedic,Clinical diagnosis 99,Medium,True
100,DIA0100,Diagnosis 100,Orthopedic,Clinical diagnosis 100,High,True
101,DIA0101,Diagnosis 101,Cardiac,Clinical diagnosis 101,Medium,True
102,DIA0102,Diagnosis 102,Neurological,Clinical diagnosis 102,Low,True
103,DIA0103,Diagnosis 103,Orthopedic,Clinical diagnosis 103,Low,True
104,DIA0104,Diagnosis 104,Infectious,Clinical diagnosis 104,High,True
105,DIA0105,Diagnosis 105,Cardiac,Clinical diagnosis 105,Low,True
106,DIA0106,Diagnosis 106,Infectious,Clinical diagnosis 106,High,True
107,DIA0107,Diagnosis 107,Neurological,Clinical diagnosis 107,Low,True
108,DIA0108,Diagnosis 108,Neurological,Clinical diagnosis 108,Medium,True
109,DIA0109,Diagnosis 109,Neurological,Clinical diagnosis 109,Medium,True
110,DIA0110,Diagnosis 110,Infectious,Clinical diagnosis 110,Low,True
111,DIA0111,Diagnosis 111,Cardiac,Clinical diagnosis 111,Medium,True
112,DIA0112,Diagnosis 112,Orthopedic,Clinical diagnosis 112,Low,True
113,DIA0113,Diagnosis 113,Digestive,Clinical diagnosis 113,Low,True
114,DIA0114,Diagnosis 114,Cardiac,Clinical diagnosis 114,Medium,True
115,DIA0115,Diagnosis 115,Orthopedic,Clinical diagnosis 115,High,True
116,DIA0116,Diagnosis 116,Orthopedic,Clinical diagnosis 116,Low,True
117,DIA0117,Diagnosis 117,Respiratory,Clinical diagnosis 117,Medium,True
118,DIA0118,Diagnosis 118,Digestive,Clinical diagnosis 118,Low,True
119,DIA0119,Diagnosis 119,Infectious,Clinical diagnosis 119,Medium,True
120,DIA0120,Diagnosis 120,Infectious,Clinical diagnosis 120,Medium,True
121,DIA0121,Diagnosis 121,Digestive,Clinical diagnosis 121,Low,True
122,DIA0122,Diagnosis 122,Respiratory,Clinical diagnosis 122,Medium,True
123,DIA0123,Diagnosis 123,Digestive,Clinical diagnosis 123,Medium,True
124,DIA0124,Diagnosis 124,Infectious,Clinical diagnosis 124,Low,True
125,DIA0125,Diagnosis 125,Cardiac,Clinical diagnosis 125,Medium,True
126,DIA0126,Diagnosis 126,Orthopedic,Clinical diagnosis 126,Low,True
127,DIA0127,Diagnosis 127,Respiratory,Clinical diagnosis 127,Medium,True
128,DIA0128,Diagnosis 128,Digestive,Clinical diagnosis 128,High,True
129,DIA0129,Diagnosis 129,Infectious,Clinical diagnosis 129,Low,True
130,DIA0130,Diagnosis 130,Respiratory,Clinical diagnosis 130,Medium,True
131,DIA0131,Diagnosis 131,Respiratory,Clinical diagnosis 131,Medium,True
132,DIA0132,Diagnosis 132,Orthopedic,Clinical diagnosis 132,High,True
133,DIA0133,Diagnosis 133,Infectious,Clinical diagnosis 133,Medium,True
134,DIA0134,Diagnosis 134,Orthopedic,Clinical diagnosis 134,Low,True
135,DIA0135,Diagnosis 135,Infectious,Clinical diagnosis 135,Medium,True
136,DIA0136,Diagnosis 136,Neurological,Clinical diagnosis 136,Medium,True
137,DIA0137,Diagnosis 137,Cardiac,Clinical diagnosis 137,High,True
138,DIA0138,Diagnosis 138,Cardiac,Clinical diagnosis 138,Low,True
139,DIA0139,Diagnosis 139,Cardiac,Clinical diagnosis 139,High,True
140,DIA0140,Diagnosis 140,Infectious,Clinical diagnosis 140,Medium,True
141,DIA0141,Diagnosis 141,Orthopedic,Clinical diagnosis 141,Medium,True
142,DIA0142,Diagnosis 142,Respiratory,Clinical diagnosis 142,Low,True
143,DIA0143,Diagnosis 143,Orthopedic,Clinical diagnosis 143,Medium,True
144,DIA0144,Diagnosis 144,Infectious,Clinical diagnosis 144,Medium,True
145,DIA0145,Diagnosis 145,Digestive,Clinical diagnosis 145,Low,True
146,DIA0146,Diagnosis 146,Orthopedic,Clinical diagnosis 146,Medium,True
147,DIA0147,Diagnosis 147,Orthopedic,Clinical diagnosis 147,Low,True
148,DIA0148,Diagnosis 148,Digestive,Clinical diagnosis 148,Low,True
149,DIA0149,Diagnosis 149,Orthopedic,Clinical diagnosis 149,Medium,True
150,DIA0150,Diagnosis 150,Neurological,Clinical diagnosis 150,Medium,True
151,DIA0151,Diagnosis 151,Orthopedic,Clinical diagnosis 151,Medium,True
152,DIA0152,Diagnosis 152,Cardiac,Clinical diagnosis 152,Medium,True
153,DIA0153,Diagnosis 153,Respiratory,Clinical diagnosis 153,Medium,True
154,DIA0154,Diagnosis 154,Cardiac,Clinical diagnosis 154,Medium,True
155,DIA0155,Diagnosis 155,Orthopedic,Clinical diagnosis 155,Low,True
156,DIA0156,Diagnosis 156,Neurological,Clinical diagnosis 156,Medium,True
157,DIA0157,Diagnosis 157,Respiratory,Clinical diagnosis 157,Low,True
158,DIA0158,Diagnosis 158,Respiratory,Clinical diagnosis 158,High,True
159,DIA0159,Diagnosis 159,Neurological,Clinical diagnosis 159,Critical,True
160,DIA0160,Diagnosis 160,Infectious,Clinical diagnosis 160,Medium,True
161,DIA0161,Diagnosis 161,Digestive,Clinical diagnosis 161,High,True
162,DIA0162,Diagnosis 162,Cardiac,Clinical diagnosis 162,Medium,True
163,DIA0163,Diagnosis 163,Respiratory,Clinical diagnosis 163,Medium,True
164,DIA0164,Diagnosis 164,Infectious,Clinical diagnosis 164,Medium,True
165,DIA0165,Diagnosis 165,Infectious,Clinical diagnosis 165,Low,True
166,DIA0166,Diagnosis 166,Respiratory,Clinical diagnosis 166,Medium,True
167,DIA0167,Diagnosis 167,Infectious,Clinical diagnosis 167,Medium,True
168,DIA0168,Diagnosis 168,Infectious,Clinical diagnosis 168,Low,True
169,DIA0169,Diagnosis 169,Infectious,Clinical diagnosis 169,Low,True
170,DIA0170,Diagnosis 170,Neurological,Clinical diagnosis 170,Critical,True
171,DIA0171,Diagnosis 171,Infectious,Clinical diagnosis 171,Low,True
172,DIA0172,Diagnosis 172,Respiratory,Clinical diagnosis 172,Medium,True
173,DIA0173,Diagnosis 173,Cardiac,Clinical diagnosis 173,High,True
174,DIA0174,Diagnosis 174,Orthopedic,Clinical diagnosis 174,Medium,True
175,DIA0175,Diagnosis 175,Digestive,Clinical diagnosis 175,Medium,True
176,DIA0176,Diagnosis 176,Infectious,Clinical diagnosis 176,Low,True
177,DIA0177,Diagnosis 177,Cardiac,Clinical diagnosis 177,Medium,True
178,DIA0178,Diagnosis 178,Respiratory,Clinical diagnosis 178,Medium,True
179,DIA0179,Diagnosis 179,Cardiac,Clinical diagnosis 179,Low,True
180,DIA0180,Diagnosis 180,Neurological,Clinical diagnosis 180,Low,True
181,DIA0181,Diagnosis 181,Orthopedic,Clinical diagnosis 181,High,True
182,DIA0182,Diagnosis 182,Respiratory,Clinical diagnosis 182,Medium,True
183,DIA0183,Diagnosis 183,Cardiac,Clinical diagnosis 183,Medium,True
184,DIA0184,Diagnosis 184,Respiratory,Clinical diagnosis 184,High,True
185,DIA0185,Diagnosis 185,Respiratory,Clinical diagnosis 185,Low,True
186,DIA0186,Diagnosis 186,Respiratory,Clinical diagnosis 186,Medium,True
187,DIA0187,Diagnosis 187,Infectious,Clinical diagnosis 187,Low,True
188,DIA0188,Diagnosis 188,Cardiac,Clinical diagnosis 188,Critical,True
189,DIA0189,Diagnosis 189,Infectious,Clinical diagnosis 189,High,True
190,DIA0190,Diagnosis 190,Digestive,Clinical diagnosis 190,High,True
191,DIA0191,Diagnosis 191,Digestive,Clinical diagnosis 191,High,True
192,DIA0192,Diagnosis 192,Cardiac,Clinical diagnosis 192,Critical,True
193,DIA0193,Diagnosis 193,Neurological,Clinical diagnosis 193,High,True
194,DIA0194,Diagnosis 194,Orthopedic,Clinical diagnosis 194,High,True
195,DIA0195,Diagnosis 195,Digestive,Clinical diagnosis 195,Medium,True
196,DIA0196,Diagnosis 196,Cardiac,Clinical diagnosis 196,Medium,True
197,DIA0197,Diagnosis 197,Infectious,Clinical diagnosis 197,Medium,True
198,DIA0198,Diagnosis 198,Orthopedic,Clinical diagnosis 198,Low,True
199,DIA0199,Diagnosis 199,Orthopedic,Clinical diagnosis 199,Low,True
200,DIA0200,Diagnosis 200,Respiratory,Clinical diagnosis 200,Medium,True
201,DIA0201,Diagnosis 201,Cardiac,Clinical diagnosis 201,Low,True
202,DIA0202,Diagnosis 202,Respiratory,Clinical diagnosis 202,Critical,True
203,DIA0203,Diagnosis 203,Cardiac,Clinical diagnosis 203,High,True
204,DIA0204,Diagnosis 204,Neurological,Clinical diagnosis 204,Low,True
205,DIA0205,Diagnosis 205,Respiratory,Clinical diagnosis 205,Medium,True
206,DIA0206,Diagnosis 206,Neurological,Clinical diagnosis 206,Critical,True
207,DIA0207,Diagnosis 207,Orthopedic,Clinical diagnosis 207,High,True
208,DIA0208,Diagnosis 208,Digestive,Clinical diagnosis 208,Low,True
209,DIA0209,Diagnosis 209,Digestive,Clinical diagnosis 209,High,True
210,DIA0210,Diagnosis 210,Cardiac,Clinical diagnosis 210,Medium,True
211,DIA0211,Diagnosis 211,Cardiac,Clinical diagnosis 211,Low,True
212,DIA0212,Diagnosis 212,Cardiac,Clinical diagnosis 212,High,True
213,DIA0213,Diagnosis 213,Respiratory,Clinical diagnosis 213,Medium,True
214,DIA0214,Diagnosis 214,Respiratory,Clinical diagnosis 214,Low,True
215,DIA0215,Diagnosis 215,Digestive,Clinical diagnosis 215,Medium,True
216,DIA0216,Diagnosis 216,Cardiac,Clinical diagnosis 216,Low,True
217,DIA0217,Diagnosis 217,Respiratory,Clinical diagnosis 217,Low,True
218,DIA0218,Diagnosis 218,Orthopedic,Clinical diagnosis 218,High,True
219,DIA0219,Diagnosis 219,Orthopedic,Clinical diagnosis 219,Medium,True
220,DIA0220,Diagnosis 220,Orthopedic,Clinical diagnosis 220,Medium,True
221,DIA0221,Diagnosis 221,Digestive,Clinical diagnosis 221,Low,True
222,DIA0222,Diagnosis 222,Neurological,Clinical diagnosis 222,Medium,True
223,DIA0223,Diagnosis 223,Neurological,Clinical diagnosis 223,Low,True
224,DIA0224,Diagnosis 224,Orthopedic,Clinical diagnosis 224,High,True
225,DIA0225,Diagnosis 225,Digestive,Clinical diagnosis 225,Low,True
226,DIA0226,Diagnosis 226,Neurological,Clinical diagnosis 226,Low,True
227,DIA0227,Diagnosis 227,Orthopedic,Clinical diagnosis 227,Low,True
228,DIA0228,Diagnosis 228,Respiratory,Clinical diagnosis 228,Medium,True
229,DIA0229,Diagnosis 229,Infectious,Clinical diagnosis 229,Medium,True
230,DIA0230,Diagnosis 230,Respiratory,Clinical diagnosis 230,Low,True
231,DIA0231,Diagnosis 231,Neurological,Clinical diagnosis 231,Medium,True
232,DIA0232,Diagnosis 232,Infectious,Clinical diagnosis 232,High,True
233,DIA0233,Diagnosis 233,Infectious,Clinical diagnosis 233,Low,True
234,DIA0234,Diagnosis 234,Neurological,Clinical diagnosis 234,Medium,True
235,DIA0235,Diagnosis 235,Cardiac,Clinical diagnosis 235,Medium,True
236,DIA0236,Diagnosis 236,Neurological,Clinical diagnosis 236,High,True
237,DIA0237,Diagnosis 237,Respiratory,Clinical diagnosis 237,Low,True
238,DIA0238,Diagnosis 238,Cardiac,Clinical diagnosis 238,High,True
239,DIA0239,Diagnosis 239,Orthopedic,Clinical diagnosis 239,High,True
240,DIA0240,Diagnosis 240,Respiratory,Clinical diagnosis 240,High,True
241,DIA0241,Diagnosis 241,Digestive,Clinical diagnosis 241,Low,True
242,DIA0242,Diagnosis 242,Digestive,Clinical diagnosis 242,Low,True
243,DIA0243,Diagnosis 243,Cardiac,Clinical diagnosis 243,Medium,True
244,DIA0244,Diagnosis 244,Orthopedic,Clinical diagnosis 244,High,True
245,DIA0245,Diagnosis 245,Neurological,Clinical diagnosis 245,Medium,True
246,DIA0246,Diagnosis 246,Neurological,Clinical diagnosis 246,Low,True
247,DIA0247,Diagnosis 247,Cardiac,Clinical diagnosis 247,Medium,True
248,DIA0248,Diagnosis 248,Orthopedic,Clinical diagnosis 248,Medium,True
249,DIA0249,Diagnosis 249,Neurological,Clinical diagnosis 249,Medium,True
250,DIA0250,Diagnosis 250,Cardiac,Clinical diagnosis 250,High,True
251,DIA0251,Diagnosis 251,Respiratory,Clinical diagnosis 251,Low,True
252,DIA0252,Diagnosis 252,Respiratory,Clinical diagnosis 252,Medium,True
253,DIA0253,Diagnosis 253,Infectious,Clinical diagnosis 253,Medium,True
254,DIA0254,Diagnosis 254,Digestive,Clinical diagnosis 254,Medium,True
255,DIA0255,Diagnosis 255,Orthopedic,Clinical diagnosis 255,Medium,True
256,DIA0256,Diagnosis 256,Digestive,Clinical diagnosis 256,Medium,True
257,DIA0257,Diagnosis 257,Cardiac,Clinical diagnosis 257,Medium,True
258,DIA0258,Diagnosis 258,Respiratory,Clinical diagnosis 258,Medium,True
259,DIA0259,Diagnosis 259,Cardiac,Clinical diagnosis 259,High,True
260,DIA0260,Diagnosis 260,Orthopedic,Clinical diagnosis 260,Medium,True
261,DIA0261,Diagnosis 261,Orthopedic,Clinical diagnosis 261,Low,True
262,DIA0262,Diagnosis 262,Cardiac,Clinical diagnosis 262,High,True
263,DIA0263,Diagnosis 263,Infectious,Clinical diagnosis 263,Critical,True
264,DIA0264,Diagnosis 264,Infectious,Clinical diagnosis 264,High,True
265,DIA0265,Diagnosis 265,Respiratory,Clinical diagnosis 265,High,True
266,DIA0266,Diagnosis 266,Orthopedic,Clinical diagnosis 266,Medium,True
267,DIA0267,Diagnosis 267,Cardiac,Clinical diagnosis 267,Medium,True
268,DIA0268,Diagnosis 268,Infectious,Clinical diagnosis 268,Medium,True
269,DIA0269,Diagnosis 269,Orthopedic,Clinical diagnosis 269,Medium,True
270,DIA0270,Diagnosis 270,Cardiac,Clinical diagnosis 270,Medium,True
271,DIA0271,Diagnosis 271,Infectious,Clinical diagnosis 271,Medium,True
272,DIA0272,Diagnosis 272,Neurological,Clinical diagnosis 272,High,True
273,DIA0273,Diagnosis 273,Respiratory,Clinical diagnosis 273,Medium,True
274,DIA0274,Diagnosis 274,Digestive,Clinical diagnosis 274,High,True
275,DIA0275,Diagnosis 275,Neurological,Clinical diagnosis 275,Medium,True
276,DIA0276,Diagnosis 276,Orthopedic,Clinical diagnosis 276,High,True
277,DIA0277,Diagnosis 277,Infectious,Clinical diagnosis 277,High,True
278,DIA0278,Diagnosis 278,Respiratory,Clinical diagnosis 278,Low,True
279,DIA0279,Diagnosis 279,Cardiac,Clinical diagnosis 279,High,True
280,DIA0280,Diagnosis 280,Infectious,Clinical diagnosis 280,Medium,True
281,DIA0281,Diagnosis 281,Neurological,Clinical diagnosis 281,Low,True
282,DIA0282,Diagnosis 282,Respiratory,Clinical diagnosis 282,Low,True
283,DIA0283,Diagnosis 283,Cardiac,Clinical diagnosis 283,Medium,True
284,DIA0284,Diagnosis 284,Digestive,Clinical diagnosis 284,Low,True
285,DIA0285,Diagnosis 285,Cardiac,Clinical diagnosis 285,Medium,True
286,DIA0286,Diagnosis 286,Neurological,Clinical diagnosis 286,Medium,True
287,DIA0287,Diagnosis 287,Orthopedic,Clinical diagnosis 287,High,True
288,DIA0288,Diagnosis 288,Cardiac,Clinical diagnosis 288,Medium,True
289,DIA0289,Diagnosis 289,Digestive,Clinical diagnosis 289,Medium,True
290,DIA0290,Diagnosis 290,Cardiac,Clinical diagnosis 290,Medium,True
291,DIA0291,Diagnosis 291,Digestive,Clinical diagnosis 291,Low,True
292,DIA0292,Diagnosis 292,Infectious,Clinical diagnosis 292,Medium,True
293,DIA0293,Diagnosis 293,Neurological,Clinical diagnosis 293,Medium,True
294,DIA0294,Diagnosis 294,Orthopedic,Clinical diagnosis 294,Medium,True
295,DIA0295,Diagnosis 295,Respiratory,Clinical diagnosis 295,Low,True
296,DIA0296,Diagnosis 296,Neurological,Clinical diagnosis 296,Medium,True
297,DIA0297,Diagnosis 297,Cardiac,Clinical diagnosis 297,High,True
298,DIA0298,Diagnosis 298,Infectious,Clinical diagnosis 298,Medium,True
299,DIA0299,Diagnosis 299,Neurological,Clinical diagnosis 299,Medium,True
300,DIA0300,Diagnosis 300,Cardiac,Clinical diagnosis 300,Low,True
